DATAFLOW,LAST UPDATE,freq,unit,sex,frequenc,age,wstatus,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Croatia,2021,77.7,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Croatia,2023,73.0,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Croatia,2025,71.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Hungary,2021,77.2,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Hungary,2023,82.6,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Hungary,2025,78.9,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Ireland,2021,51.3,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Ireland,2023,41.2,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Ireland,2025,50.2,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Italy,2021,83.0,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Italy,2023,84.1,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Italy,2025,88.5,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Lithuania,2021,72.4,b,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Lithuania,2023,73.8,,
ESTAT:LFSA_EHOMP(1.0),11/06/26 23:00:00,Annual,Percentage,Males,Never,From 20 to 64 years,Self-employed persons,Lithuania,2025,72.9,,
