DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Spain,2023,61.47,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Spain,2025,75.96,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,European Union - 27 countries (from 2020),2021,55.75,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,European Union - 27 countries (from 2020),2023,58.87,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,European Union - 27 countries (from 2020),2025,72.11,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Finland,2021,82.21,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Finland,2023,86.04,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Finland,2025,94.24,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,France,2021,48.08,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,France,2023,53.06,b,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,France,2025,70.23,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Croatia,2021,50.65,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Croatia,2023,56.96,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Croatia,2025,58.13,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Hungary,2021,35.77,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Hungary,2023,54.21,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Hungary,2025,60.80,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Ireland,2021,65.08,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Ireland,2023,66.92,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Ireland,2025,79.92,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Italy,2021,60.81,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Italy,2023,61.27,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Italy,2025,79.81,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Lithuania,2021,57.79,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Lithuania,2023,60.92,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Lithuania,2025,74.34,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Luxembourg,2021,55.06,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Luxembourg,2023,59.04,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Luxembourg,2025,77.32,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Latvia,2021,39.26,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Latvia,2023,49.21,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Latvia,2025,59.52,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Montenegro,2021,48.70,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Montenegro,2023,64.52,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Montenegro,2025,81.84,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,North Macedonia,2021,27.81,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Malta,2021,73.13,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Malta,2023,76.91,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Malta,2025,83.93,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Netherlands,2021,76.03,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Netherlands,2023,83.24,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Netherlands,2025,89.10,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Norway,2021,77.61,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Norway,2023,80.79,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Norway,2025,83.65,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Poland,2021,41.53,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Poland,2023,51.60,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Poland,2025,60.23,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Portugal,2021,49.65,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Portugal,2023,54.45,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Portugal,2025,64.67,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Romania,2021,23.47,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Romania,2023,27.93,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Romania,2025,45.53,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Serbia,2021,42.78,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Serbia,2023,50.30,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Serbia,2025,51.40,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Sweden,2021,86.38,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Sweden,2023,80.52,b,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Sweden,2025,86.93,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Slovenia,2021,56.34,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Slovenia,2023,51.62,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Slovenia,2025,66.58,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Slovakia,2021,44.26,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Slovakia,2023,43.88,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Slovakia,2025,58.39,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Türkiye,2025,43.83,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with high digital intensity index (DII version 3),Percentage of enterprises,Austria,2021,22.50,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with high digital intensity index (DII version 3),Percentage of enterprises,Austria,2023,20.45,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with high digital intensity index (DII version 3),Percentage of enterprises,Austria,2025,26.97,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with high digital intensity index (DII version 3),Percentage of enterprises,Bosnia and Herzegovina,2021,6.80,,
