DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Belgium,2021,-1.7,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Belgium,2023,0.7,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Belgium,2025,0.4,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Bulgaria,2021,7.0,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Bulgaria,2023,-1.8,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Bulgaria,2025,1.9,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Cyprus,2021,2.7,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Cyprus,2023,0.7,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Cyprus,2025,1.4,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Czechia,2021,0.1,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Czechia,2023,-1.7,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Czechia,2025,0.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Germany,2021,1.6,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Germany,2023,-1.2,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Germany,2025,0.4,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Denmark,2021,0.5,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Denmark,2023,0.3,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Denmark,2025,1.9,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Euro area – 20 countries (2023-2025),2021,0.3,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Euro area – 20 countries (2023-2025),2023,-1.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Euro area – 20 countries (2023-2025),2025,1.0,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Euro area – 21 countries (from 2026),2021,0.4,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Euro area – 21 countries (from 2026),2023,-1.2,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,Percentage change on previous period,Euro area – 21 countries (from 2026),2025,1.0,,
