DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises,Portugal,2023,22.55,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises,Sweden,2025,3.01,b,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises where persons employed have access to the internet,Germany,2023,17.22,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises where persons employed have access to the internet,Spain,2021,11.42,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises where persons employed have access to the internet,Spain,2023,12.96,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises where persons employed have access to the internet,Spain,2025,14.06,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises where persons employed have access to the internet,Portugal,2021,30.34,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises where persons employed have access to the internet,Portugal,2023,25.70,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises who have ERP software package to share information between different functional areas,Percentage of enterprises where persons employed have access to the internet,Sweden,2025,3.35,b,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using ERP software and any social media,Percentage of enterprises,Germany,2023,7.74,,
